                       Manchete                       Valência (%)
------------------------------------------------------------------
BNDES encolhe e volta ao nível de 20 anos atrás              16.26
BC cria novo instrumento de política monetária.              14.69
Câmbio gera bate-boca entre UA e UE.                         24.69
Indenização a transmissoras de energia já chega à tarifa.     4.59
Políticos esperam que relator separe "joio do trigo".        50.00
Philips quer administrar hospitais públicos no Brasil.       50.00
Com vendas em queda, C&amp;C muda lojas e troca diretoria.   50.00
Fachin poderá ir para turma que julga Lava-Jato.             50.00
Eike tem multas que superam fundo para prisões.              19.39
Operador pagou decoração de luxo de imóveis de Cabral.        1.75
Drama do desemprego está longe de diminuir.                   3.04
BC prevê queda da inflação a 3%.                             50.00
Boicote atrasa governo Trump.                                50.00
Crivella negocia Vila dos Atletas.                           25.24
Crise amplia diferença de salário entre CLT e servidor.      50.00
Governo faz cortes após déficit recorde de R$ 155,7 bilhõe   50.00
Vitória é dada como certa no Senado, e PMDB mira comissão.   21.93
Operador diz que repatriou propina de Eike a Cabral.         50.00
Doria quer punir pichadores com multa pesada e trabalho de   50.00
Pedro Parente: Brasil não deveria ter desapreço ao capital   50.00
Trump indica juiz conservador para a Suprema Corte.           5.64
Obter visto para os EUA fica mais difícil para os brasilei   17.69
Financiamentos do BNDES têm maior queda em 22 anos.          50.00
Sorteio na 2ª Turma do STF definirá relator da Lava-Jato.    15.38
Desemprego atinge 12%.                                        5.45
Trump põe juiz conservador na Suprema Corte americana.       21.31
Brasil e EUA definem nomes de monitores da Odebrecht.        50.00
Mais brasileiros terão de fazer entrevista para visto.       18.94
Indenização a teles por bens reversíveis custaria R$ 20 bi   50.00
Supervia não paga e pede indenização.                         3.67
Para Alemanha, agenda do clima resiste a Trump.              50.00
Governo Macri foi "ingênuo" sobre volta dos investimentos.   29.05
Doria atribui doações a altruísmo empresarial.               13.43
Investimentos das estatais devem ter execução recorde.       50.00
XP fica cada vez mais distante de suas origens.              17.36
Fé da Mangueira leva Estandarte.                             17.65
MP vai exigir regras de segurança para alegorias.            50.00
O carnaval de peito aberto dos blocos.                       50.00
Trump agora acena com legalização de imigrantes.              2.82
Sem Padilha, Temer assume articulação de reformas.           15.59
Conheça as mudanças na declaração do IR.                     50.00
Comissão rejeita pilares da nova Previdência.                16.08
Propostas radicais têm chance política.                      50.00
Elio Gaspari: Presidente bate recorde em perda de colabora   50.00
Hélio Schwartsman: Puxadinho vira estratégia para evitar c   50.00
No desempate, Tatuapé vence pela 1ª vez em SP.&nbsp;         26.87
Trump pode desistir de expulsar ilegais sem crime grave.      5.10
Maioria da torcida em SP não sabe nome de jogador.           50.00
Crédito para famílias supera pela primeira vez o de empres   50.00
Protecionismo de trump pode afetar o Brasil, diz Azevêdo.    50.00
Janor pede que Aécio seja ouvido sobre Furnas no STF.        50.00
Tatuapé comemora um título inédito.                           9.09
Acidentes ferem 32 na Sapucaí.                                9.52
Rede Fnac vai deixar o país.                                 50.00
Doria anuncia o Nota do Milhão.                              50.00
Donos da JBS assumem ônus do acordo de leniência.             5.93
Novo Refis traz descontos em juros e multas.                  4.16
Crise leva BC a reduzir ritmo de corte de juro.               0.15
Corrupção distorce competição, diz Iedi.                     21.56
Tucanos da Câmara e de SP querem romper com Temer.           13.65
Latam reforça busca de rentabilidade.                         2.81
Ministro tem posse esvaziada, e Temer sofre revés no STF.     0.65
Senadores amenizam fim do foro privilegiado.                 50.00
Senado aprova eleições diretas.                              21.75
Marco Aurélio levará pedido de prisão de Aécio ao plenário    2.25
Em áudio, tucano tenta interferir na delação da Andrade Gu   26.32
Joesley deu dinheiro a firma da qual filho de Mantega foi    50.00
JBS faz acordo para pagar R$ 10,3 bi em 25 anos; ações sob   50.00
Incerteza leva BC a cortar menos os juros                     0.19
